No.	DateMeas	TimeMeas	PV	RMS	Tilt	Power	Hardware	Intensity accumul.	Phase accumul.	Sample	Sample	User	Defocus	MaskWidth	MaskHeight	C1 (c1,1)	C2 (s1,1)	C3 (2,2)	C4 (c2,2)	C5 (s2,2)	C6 (c3,1)	C7 (s3,1)	C8 (4,0)	C9 (c3,3)	C10 (s3,3)	C11 (c4,2)	C12 (s4,2)	C13 (c5,1)	C14 (s5,1)	C15 (6,0)
			[nm]	[nm]	[nm]	[nm]	setup			ID	name	initials	[mm]	[pixel]	[pixel]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]
1	12/09/21	16:22:05	26.6	4.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
2	12/09/21	16:24:22	6.8	1.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
3	12/09/21	16:25:01	110.0	10.7	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
4	12/09/21	16:25:15	169.6	15.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
5	12/09/21	16:25:29	186.0	17.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
6	12/09/21	16:25:38	164.1	15.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
7	12/09/21	16:25:46	125.4	12.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
8	12/09/21	16:26:38	114.9	10.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
9	12/09/21	16:26:50	163.1	14.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
10	12/09/21	16:26:57	190.0	17.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
11	12/09/21	16:27:04	158.2	14.7	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
12	12/09/21	16:27:11	119.6	11.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
13	12/09/21	16:28:10	212.9	19.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
14	12/09/21	16:28:25	321.7	32.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
15	12/09/21	16:28:32	335.2	40.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
16	12/09/21	16:28:39	312.1	39.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
17	12/09/21	16:28:45	323.8	39.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
18	12/09/21	16:28:53	289.8	29.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
19	12/09/21	16:28:59	205.2	19.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
20	12/09/21	16:29:58	224.9	21.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
21	12/09/21	16:30:07	301.0	34.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
22	12/09/21	16:30:14	316.4	45.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
23	12/09/21	16:30:21	318.6	46.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
24	12/09/21	16:30:44	327.2	48.7	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
